"","respondent_id","Year","USBORN","DEGREE","BIRTHYR","GENDER","RACE","HISPANIC","SS048M1","SS048M2","SS048M3","SS044","SS045","SS046","SS047","SS040","SS042","SJ005M1","SJ005M2","SJ005M3","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","SS003_2","SS004_2","SS008_2","SS005_2","SS006_2","SS007_2","SS003_3","SS004_3","SS008_3","SS005_3","SS006_3","SS007_3","SS003_4","SS004_4","SS008_4","SS005_4","SS006_4","SS007_4","deathexpense_special","foreign","female","age","disabled","lifeins_y","pensionsum_y","socsec_y","suppsec_y","vetbenefits_y","otherpensions_y","socinsur_y","black_nh","white_nh","hisp_allraces","black_hi","white_hi","hisp_other","non_bwh","employed","retired","homemaker","sell_assets","withdraw_money","fam_help","charity_help","did_nothing_special","borrow_money","other","dk_na","rf","inap","deathexpense_sources","degree","deathexpense_usd"
"16","15883_11",2022,1,4,1944,2,1,5,5,NA,NA,0,NA,NA,NA,1,5,5,NA,NA,2,1600,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,78,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","College (2-year or 4-year)",0
"17","16048_20",2022,1,2,1937,1,1,5,5,NA,NA,8000,NA,NA,NA,1,5,5,NA,NA,2,99999998,NA,1001,99999996,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,100,4,NA,NA,NA,0,0,0,85,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",8000
"18","16541_11",2022,1,2,1959,2,2,5,5,NA,NA,9999998,0,1999,NA,1,1,5,NA,NA,3,99999998,NA,651,999,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,63,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",999.5
"19","16822_10",2022,1,2,1939,2,1,5,5,NA,NA,7500,NA,NA,NA,1,5,5,NA,NA,2,-8,-8,751,99999996,0,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,83,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",7500
"20","17003_40",2022,1,2,1946,1,1,5,7,NA,NA,16000,NA,NA,NA,5,5,1,NA,NA,2,788,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"other","High school diploma",16000
"21","17356_10",2022,1,2,1937,2,1,5,5,NA,NA,2500,NA,NA,NA,1,5,5,NA,NA,3,99999998,NA,651,999,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,85,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",2500
"22","17383_12",2022,1,5,1949,2,1,5,5,NA,NA,0,NA,NA,NA,1,5,5,NA,NA,2,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,900,4,NA,NA,NA,0,0,1,73,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","Postgraduate degree",0
"23","17833_10",2022,1,0,1937,2,2,5,5,NA,NA,0,NA,NA,NA,5,5,4,NA,NA,2,1021,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,85,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"No degree",0
"24","17862_40",2022,1,2,1930,2,1,5,5,NA,NA,9999998,10001,99999996,NA,5,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",178937.864427391
"25","18435_40",2022,1,1,1954,2,1,5,5,NA,NA,5000,NA,NA,NA,1,5,5,NA,NA,3,1100,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,68,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","GED",5000
"26","18447_40",2022,5,0,1949,2,1,2,5,NA,NA,9999998,2001,4999,NA,1,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,1,73,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","No degree",3500
"27","19052_40",2022,1,1,1942,1,1,1,5,NA,NA,10000,NA,NA,NA,1,1,5,NA,NA,2,3200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,2,69,4,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,80,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","GED",10000
"28","19065_20",2022,1,2,1937,2,1,5,5,NA,NA,19000,NA,NA,NA,5,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",19000
"29","19110_10",2022,1,1,1940,2,1,1,3,7,NA,8000,NA,NA,NA,1,1,5,NA,NA,3,1200,4,NA,NA,NA,3,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,1,82,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"family_friend_charity","GED",8000
"30","20316_20",2022,1,0,1940,2,1,5,3,NA,NA,18000,NA,NA,NA,1,1,5,NA,NA,3,735,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,82,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"family_friend_charity","No degree",18000
"31","20634_40",2022,5,3,1946,2,1,5,7,NA,NA,4000,NA,NA,NA,5,5,5,NA,NA,3,760,4,NA,NA,NA,3,-8,-8,301,99999996,0,5,NA,NA,NA,NA,NA,3,74,4,NA,NA,NA,1,1,1,76,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"other","College (2-year or 4-year)",4000
"32","20700_11",2022,1,2,1940,2,1,5,5,NA,NA,7000,NA,NA,NA,1,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,82,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",7000
"33","21169_10",2022,5,2,1938,2,1,5,5,NA,NA,2000,NA,NA,NA,5,5,5,NA,NA,2,1450,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,699,4,NA,NA,NA,0,1,1,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",2000
"34","21412_10",2022,1,2,1938,1,1,5,5,NA,NA,5000,NA,NA,NA,1,5,5,NA,NA,3,500,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,84,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",5000
"35","22267_10",2022,1,2,1936,2,1,5,5,NA,NA,9000,NA,NA,NA,5,5,5,6,NA,3,99999998,NA,0,99999996,98,8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,86,0,0,0,1,NA,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",9000
"36","22330_20",2022,1,5,1932,1,1,5,5,NA,NA,5000,NA,NA,NA,1,5,5,NA,NA,2,400,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,90,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","Postgraduate degree",5000
"37","22738_10",2022,1,2,1936,1,1,5,5,NA,NA,20000,NA,NA,NA,5,5,5,NA,NA,2,800,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",20000
"38","22841_41",2022,1,0,1952,2,2,2,5,NA,NA,10000,NA,NA,NA,5,5,1,NA,NA,2,1000,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,"No degree",10000
"39","23827_10",2022,1,0,1935,1,7,5,5,NA,NA,9000,NA,NA,NA,5,5,5,NA,NA,2,99999998,NA,500,500,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"No degree",9000
"40","23886_20",2022,1,2,1933,1,2,5,5,NA,NA,9000,NA,NA,NA,1,5,5,NA,NA,2,700,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,89,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",9000
"41","25102_40",2022,1,4,1943,2,1,5,5,NA,NA,4000,NA,NA,NA,5,5,5,NA,NA,2,300,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"College (2-year or 4-year)",4000
"42","31608_10",2022,1,2,1936,1,1,5,5,NA,NA,0,NA,NA,NA,5,5,5,NA,NA,2,99999999,NA,0,99999996,99,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",0
"43","31923_10",2022,1,1,1939,2,2,5,1,2,NA,8000,NA,NA,NA,1,5,4,5,6,3,0,-8,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,1,83,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,"assets_savings","GED",8000
"44","32481_40",2022,5,5,1947,2,1,5,5,NA,NA,20000,NA,NA,NA,5,5,5,NA,NA,3,99999998,NA,351,99999996,98,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,1,75,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"Postgraduate degree",20000
"45","32991_20",2022,1,0,1936,1,1,5,5,NA,NA,9999998,0,1999,NA,1,1,5,NA,NA,2,800,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,86,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","No degree",999.5
"46","33028_10",2022,1,2,1935,1,1,5,5,NA,NA,6500,NA,NA,NA,5,5,5,NA,NA,2,99999998,NA,751,999,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",6500
"47","33527_30",2022,1,4,1943,2,1,5,5,NA,NA,17300,NA,NA,NA,1,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,5746,4,NA,NA,NA,0,0,1,79,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","College (2-year or 4-year)",17300
"48","33566_22",2022,5,3,1969,1,7,5,5,NA,NA,0,NA,NA,NA,5,5,1,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,"College (2-year or 4-year)",0
"49","33842_31",2022,1,3,1946,2,1,5,5,NA,NA,0,NA,NA,NA,5,5,5,NA,NA,2,1600,4,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,76,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"College (2-year or 4-year)",0
"50","33944_40",2022,5,2,1942,2,7,2,5,NA,NA,3000,NA,NA,NA,5,5,5,NA,NA,1,NA,NA,NA,NA,NA,3,5000,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,1,80,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",3000
"51","34756_30",2022,1,2,1944,2,1,5,7,NA,NA,2500,NA,NA,NA,1,5,5,NA,NA,3,700,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,0,-8,NA,NA,NA,1,0,1,78,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"lifeins_fullcover","High school diploma",2500
"52","34884_20",2022,1,2,1940,2,1,5,1,NA,NA,0,NA,NA,NA,5,5,5,NA,NA,3,2000,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,1,82,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"assets_savings","High school diploma",0
"53","35169_10",2022,1,2,1935,2,1,5,7,NA,NA,16000,NA,NA,NA,1,5,5,NA,NA,3,850,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1600,4,NA,NA,NA,1,0,1,87,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"lifeins_fullcover","High school diploma",16000
"54","35519_10",2022,1,2,1935,1,1,5,5,NA,NA,8700,NA,NA,NA,1,1,5,NA,NA,2,970,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,87,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",8700
"55","36243_30",2022,1,2,1947,2,1,5,5,NA,NA,9000,NA,NA,NA,1,5,5,NA,NA,3,3000,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,865,4,NA,NA,NA,0,0,1,75,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",9000
"56","36408_30",2022,1,2,1942,2,1,5,5,NA,NA,9999998,2001,4999,NA,5,5,5,NA,NA,3,1044,4,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2295,4,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,80,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",3500
"57","37057_20",2022,1,4,1941,2,1,5,5,NA,NA,4500,NA,NA,NA,1,5,5,NA,NA,3,3600,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,2300,4,NA,NA,NA,0,0,1,81,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","College (2-year or 4-year)",4500
"58","38615_20",2022,1,3,1936,1,2,5,5,NA,NA,5000,NA,NA,NA,5,5,5,NA,NA,2,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"College (2-year or 4-year)",5000
"59","38717_40",2022,1,2,1947,2,1,5,5,NA,NA,4500,NA,NA,NA,5,5,5,NA,NA,3,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,75,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",4500
"60","39010_30",2022,1,5,1944,2,1,5,5,NA,NA,2500,NA,NA,NA,1,5,5,NA,NA,2,250,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,2100,4,NA,NA,NA,0,0,1,78,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","Postgraduate degree",2500
"61","39275_20",2022,1,2,1940,2,1,5,5,NA,NA,4000,NA,NA,NA,5,5,5,NA,NA,2,1300,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",4000
"62","39319_20",2022,1,2,1933,2,1,5,5,NA,NA,20000,NA,NA,NA,5,5,5,NA,NA,3,5000,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,89,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,"High school diploma",20000
"63","39348_20",2022,1,2,1940,2,1,5,5,NA,NA,0,NA,NA,NA,1,1,5,NA,NA,3,-8,-8,1001,99999996,NA,5,NA,NA,NA,NA,NA,3,99999998,-8,1501,99999996,NA,3,-8,-8,1001,99999996,NA,0,0,1,82,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","High school diploma",0
"64","39970_20",2022,1,3,1938,1,1,5,5,NA,NA,-8,2000,2000,NA,1,1,5,NA,NA,2,-8,-8,0,99999996,0,2,-8,4,300,300,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,84,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"lifeins_fullcover","College (2-year or 4-year)",2000
